"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1824764880114815402","Fri Aug 23 23:44:24 +0000 2024","0","@jokowi Smpah di indinesia bwlum ada solusi pak Bagaimana ini???","1827129795299438701","","jokowi","in","depok, jawa barat","0","0","0","https://x.com/adhialwi/status/1827129795299438701","169479482","adhialwi"
"1827129778157289650","Fri Aug 23 23:44:20 +0000 2024","0","Ada banget browwwww. Ni om gua yang tinggal serumah begini. Emang kenapa sih pada gak mau Jokowi lanjut lagi ya? Capek balesnya kwkwkwkw","1827129778157289650","","","in","Boston, MA","0","0","0","https://x.com/AmmarshaR/status/1827129778157289650","73558889","AmmarshaR"
"989137202398380033","Fri Aug 23 23:44:15 +0000 2024","0","@jokowi Wah semangat terus Mitsubishi Indonesia! Semoga bisa terus berkontribusi buat perekonomian negara kita","1827129756938334271","","jokowi","in","Sulsel","0","0","0","https://x.com/exoticbackpack4/status/1827129756938334271","1263894151","exoticbackpack4"
"1826498793195372870","Fri Aug 23 23:44:11 +0000 2024","0","@miskiy28 JOKOWI JOKOWI ANJING! JOKOWI ANJING!","1827129742413459766","","miskiy28","in","","0","0","0","https://x.com/fckgvrmntt/status/1827129742413459766","1336748270140280832","fckgvrmntt"
"1826940084740039049","Fri Aug 23 23:44:09 +0000 2024","0","@AnimismeL @ch_chotimah2 @jokowi Klo menang ngafain dia takut jokowi tiap hari kader dan bujernya bahas jkw mulu...pilpres ambruk suara nasional turun pilkada ga punya calon ","1827129734146486372","","AnimismeL","in","","0","0","0","https://x.com/santoz92725/status/1827129734146486372","1735645952676130816","santoz92725"
"1826994121355235518","Fri Aug 23 23:44:01 +0000 2024","0","@H4T14K4LN4L42 @jokowi Raja jawa penakut..","1827129698448764951","","H4T14K4LN4L42","in","","0","0","0","https://x.com/YanzDipanegara/status/1827129698448764951","1702626752303132672","YanzDipanegara"
"1825782175364690202","Fri Aug 23 23:43:56 +0000 2024","0","@jokowi Pungsi presiden adalah memimpin negara dengan aman makmur kenyataannya Hanya memakmurkan diri sendiri keluarganya kacung Mapia antek-antek yg setia sedih miris Indonesia ku semoga engkau cepat membaik ","1827129680694276598","","jokowi","in","","0","0","0","https://x.com/ElfazriSuhada/status/1827129680694276598","1685189975015636992","ElfazriSuhada"
"1827129675224904038","Fri Aug 23 23:43:55 +0000 2024","10","Pikiran sya sesimpel. Jika memang keluarga Pak Jokowi lolos dari hukum apapun. Yasudah jangan dipilih untuk jadi pemimpin. Milih penjahat untuk jadi pemimpin? Itu yg harus anda pertanyakan dalam diri anda sendiri. Ibarat makan sambel suka yg mana itu yg dipilih. Gampang tho?","1827129675224904038","","","in","Negeri Nuswantara","0","4","1","https://x.com/Maleo_Berekor/status/1827129675224904038","1499993544","Maleo_Berekor"
"1827129663048839306","Fri Aug 23 23:43:52 +0000 2024","0","Kalo ada temenmu yang bau ketek bilang aja km mantunya @jokowi yah ","1827129663048839306","","","in","","0","0","0","https://x.com/AnwarKhoirull/status/1827129663048839306","3187938841","AnwarKhoirull"
"1827129630069063761","Fri Aug 23 23:43:44 +0000 2024","0","@jokowi anda nampak jelas sejak awal gagal beradaptasi dengan Indonesia Raya...Indonesia Merdeka. Negara hukum sudah sejak negara ini dibentuk dan berdiri. Anda dengan dengan sadar berusaha sekuat tenaga untuk merubah nya. Terlalu banyak omong kosong anda. https://t.co/fi3MGX5xjM","1827129630069063761","https://pbs.twimg.com/media/GVtEtR8a8AAqoVV.jpg","jokowi","in","Tebet, Indonesia","0","0","0","https://x.com/RendangOtentik/status/1827129630069063761","1669598694143037442","RendangOtentik"
"1827129572250546378","Fri Aug 23 23:43:31 +0000 2024","2","pemabukpantes mukanya item #IndonesiaEmergencyDemocracy #TolakPilkadaAkal2an #TolakPolitikDinasti Jokowi &amp; friends","1827129572250546378","","","in","di atas tanah menuju langit","0","0","1","https://x.com/FitraYouse/status/1827129572250546378","1604019750874812417","FitraYouse"
